#{"t_start": 1765087552.7505972, "env_id": "None"}
r,l,t
0.0004734404,70,0.833813
-5.206037e-06,70,0.833851
0.00012374917,70,0.833862
0.00024678325,70,0.833869
0.00081780565,70,0.833875
0.00053433084,70,0.833881
0.0003337888,70,0.833888
0.00010810684,70,0.833894
0.000258793,70,1.641989
0.00016664455,70,1.642038
0.00016209504,70,1.642051
4.8070313e-05,70,1.642059
0.0033270167,70,1.642067
-8.2613715e-06,70,1.642075
0.0052962922,70,1.642082
0.00012621714,70,1.64209
0.011094037,70,2.432825
3.3460088e-05,70,2.432868
0.008161304,70,2.43288
0.0025922915,70,2.432888
-2.0435255e-07,70,2.432897
0.0007520099,70,2.432904
0.00032285927,70,2.432912
0.0037305807,70,2.432919
0.0013962026,70,3.317398
-6.6524503e-06,70,3.317443
-1.0531497e-05,70,3.317455
0.0056023384,70,3.317464
1.0435228e-06,70,3.317472
0.0036467998,70,3.317479
0.000119242715,70,3.317487
0.002013975,70,3.317494
0.000628336,70,4.12387
0.026163802,70,4.12391
0.00039879477,70,4.123923
0.0007646825,70,4.123931
0.0023111424,70,4.123939
0.0004120811,70,4.123946
0.00032287772,70,4.123954
0.00012967737,70,4.12396
0.0009144425,70,4.919875
0.0010019292,70,4.919919
0.00029876851,70,4.919931
0.0054459022,70,4.91994
0.0007537247,70,4.919948
0.002377133,70,4.919956
0.000515985,70,4.919963
0.00042284888,70,4.91997
0.00012194728,70,5.713008
-1.3922981e-06,70,5.713052
0.0001064674,70,5.713064
0.0009995122,70,5.713073
0.0006333293,70,5.71308
0.00013129516,70,5.713088
0.00043989276,70,5.713096
0.0006473723,70,5.713103
0.016245024,70,6.603341
0.0076992097,70,6.603387
0.00017646322,70,6.6034
0.0003362321,70,6.603409
9.394223e-05,70,6.603427
0.00074019615,70,6.603436
0.0009457065,70,6.603444
0.015560762,70,6.603451
0.011438757,70,7.404262
0.0011713973,70,7.404303
0.010538211,70,7.404315
0.0053016203,70,7.404324
0.00020023287,70,7.404332
-4.5250945e-06,70,7.40434
0.00033638632,70,7.404347
0.00036779058,70,7.404354
8.6374406e-05,70,8.221137
0.0001852409,70,8.221178
0.00016964885,70,8.22119
0.00026097917,70,8.221198
0.00080149993,70,8.221206
0.00017967176,70,8.221213
0.0005089133,70,8.22122
0.0055441465,70,8.221228
1.9144049e-05,70,9.133727
0.00046759075,70,9.13378
-5.0582043e-05,70,9.133792
0.011490227,70,9.133801
0.0010567831,70,9.13381
0.00023219714,70,9.133817
0.00074333395,70,9.133824
0.00020973542,70,9.133831
0.0021820886,70,9.953407
3.6428486e-05,70,9.953453
0.0005740087,70,9.953465
0.00032883266,70,9.953474
0.00040223263,70,9.953483
0.00054630265,70,9.95349
0.00024436452,70,9.953498
0.0002445857,70,9.953505
0.0048547154,70,10.763932
0.00052989565,70,10.763976
0.00035067095,70,10.763988
0.0007000612,70,10.763996
0.0028940313,70,10.764004
0.00025351916,70,10.764012
0.0001832729,70,10.764019
0.0007313359,70,10.764026
7.863906e-05,70,11.562973
0.0001043684,70,11.563016
0.0002673491,70,11.563037
0.00040640845,70,11.563054
0.00060669926,70,11.563066
0.0005963227,70,11.563077
0.0006154106,70,11.563088
0.010820951,70,11.563098
0.00010857356,70,12.484502
0.0004554715,70,12.484551
0.013405451,70,12.484573
0.00032472046,70,12.484589
0.0004254307,70,12.4846
0.0002690123,70,12.484611
0.00031713146,70,12.484621
0.00028053293,70,12.484632
0.00048751768,70,13.370695
0.00037246582,70,13.370747
0.000761277,70,13.370761
0.00026854686,70,13.37077
0.050573397,70,13.370778
8.417261e-05,70,13.370786
0.00013851434,70,13.370794
0.00072968414,70,13.370801
0.00010641987,70,14.244367
0.002369103,70,14.244413
0.00083116634,70,14.244426
0.0012500711,70,14.244435
0.0019692976,70,14.244443
0.00014392432,70,14.24445
0.000868927,70,14.244458
0.0005556263,70,14.244465
0.0008457017,70,15.097268
0.00060580176,70,15.097311
0.0007595878,70,15.097323
0.00036986134,70,15.097332
0.0011563188,70,15.09734
9.140466e-05,70,15.097348
0.0004560476,70,15.097355
0.00030471533,70,15.097362
0.0005846091,70,16.060008
0.0009829695,70,16.060052
0.0007710251,70,16.060066
0.0007497297,70,16.060074
0.00042941945,70,16.060082
0.00018198889,70,16.06009
1.00792e-05,70,16.060097
0.00050464075,70,16.060105
0.00610572,70,16.895128
0.0021030682,70,16.89517
0.0044693323,70,16.895181
0.00026478557,70,16.895189
0.00017113073,70,16.895196
0.0065887403,70,16.895202
0.0004563241,70,16.895209
9.727747e-05,70,16.895215
0.0001793885,70,17.751802
0.0073628933,70,17.751849
0.00072884414,70,17.751863
0.0009923283,70,17.751873
0.0043799183,70,17.751881
0.00017962199,70,17.751889
0.0019929516,70,17.751897
0.00032818885,70,17.751905
0.00023536189,70,18.665756
0.0005056034,70,18.665798
0.0022772118,70,18.665819
0.00024124216,70,18.665835
0.0008001309,70,18.665848
3.0089983e-05,70,18.665859
0.0004467412,70,18.665869
0.0008152372,70,18.665879
0.002572746,70,19.472139
0.00029746932,70,19.472183
0.0002973449,70,19.472195
0.0036842455,70,19.472204
0.00042460792,70,19.472213
0.0063355574,70,19.472221
0.0023966786,70,19.472228
0.0030771757,70,19.472236
0.0005521175,70,20.299557
0.0005812464,70,20.299601
0.00042810984,70,20.299613
0.00023162542,70,20.299622
0.0005268565,70,20.299629
0.00014879297,70,20.299636
-4.2120722e-05,70,20.299644
0.00029550673,70,20.299651
0.001053426,70,21.099036
0.0005903599,70,21.099072
0.0060423263,70,21.099084
0.0003379958,70,21.099092
0.00077994703,70,21.0991
0.0006864616,70,21.099108
0.006841908,70,21.099115
0.0007377886,70,21.099123
0.0019825967,70,22.001142
0.00025335985,70,22.001188
0.0014804793,70,22.001201
0.0004020793,70,22.001211
0.00021517326,70,22.001219
-1.0228998e-05,70,22.001226
0.00025186257,70,22.001234
0.00025960288,70,22.001241
0.0002869579,70,22.825943
0.00011836053,70,22.825998
1.6305414e-05,70,22.826016
0.00010553057,70,22.82603
0.0006619269,70,22.826042
0.00027876534,70,22.826055
0.00084305956,70,22.826069
0.00044536722,70,22.826083
0.0005802296,70,23.665693
-8.2223505e-06,70,23.665745
-1.6011132e-05,70,23.665759
0.00032159637,70,23.665768
-4.25413e-05,70,23.665776
0.00040053215,70,23.665783
0.00053466286,70,23.665791
3.6882775e-05,70,23.665798
0.00016645923,70,24.524239
0.00018607231,70,24.524311
0.00017439837,70,24.524328
0.0007736952,70,24.52434
0.014128609,70,24.524352
0.00031394482,70,24.524363
0.00037282615,70,24.524374
0.0028687103,70,24.524384
0.00021167242,70,25.491211
-3.510409e-05,70,25.491257
0.0006558968,70,25.499069
0.0003424429,70,25.499095
0.00012617055,70,25.499108
