#{"t_start": 1765088260.6675208, "env_id": "None"}
r,l,t
0.0012074711,70,0.839326
-1.3389774e-05,70,0.839366
0.00027644762,70,0.839377
0.0005031325,70,0.839384
0.00078187214,70,0.83939
0.0014238532,70,0.839396
0.00079279236,70,0.839402
0.00018245325,70,0.839409
0.00067222794,70,1.662385
0.00034688498,70,1.662427
0.00028725003,70,1.662439
9.730811e-05,70,1.662448
0.003429363,70,1.662456
-1.7874427e-05,70,1.662464
0.0062241713,70,1.662471
0.00033197633,70,1.662478
0.01441043,70,2.449231
5.0767037e-05,70,2.449271
0.009635384,70,2.449284
0.004214524,70,2.449292
-2.6181664e-05,70,2.4493
0.0014912587,70,2.449307
0.0007230934,70,2.449315
0.0049174163,70,2.449322
0.002709737,70,3.330052
-1.6364931e-05,70,3.330093
-1.6414104e-05,70,3.330105
0.0051707835,70,3.330114
-4.0829673e-06,70,3.330122
0.0011871101,70,3.330129
0.0009923101,70,3.330137
0.0039499123,70,3.330144
0.0008379817,70,4.122411
0.009619422,70,4.122452
0.0009653194,70,4.122463
0.0014028908,70,4.122471
0.001440406,70,4.122479
0.0009039195,70,4.122486
0.0007989961,70,4.122494
0.0002795378,70,4.1225
0.0018306002,70,4.968863
0.0010094752,70,4.968904
0.00058266195,70,4.968915
0.005153518,70,4.968924
0.0016410927,70,4.968932
0.0028325645,70,4.968939
0.0013722809,70,4.968946
0.0007974326,70,4.968954
7.1361224e-05,70,5.767143
0.00015905531,70,5.767183
0.00017267038,70,5.767195
0.0017398511,70,5.767203
0.0012065643,70,5.767211
0.00024823679,70,5.767218
0.0009071023,70,5.767225
0.0010907247,70,5.767232
0.016029285,70,6.652049
0.004819535,70,6.652089
0.00029241314,70,6.6521
0.000775266,70,6.652109
3.1812546e-05,70,6.652116
0.0016721649,70,6.652124
0.00087471167,70,6.652131
0.018684382,70,6.652138
0.0019482172,70,7.44998
0.0013035585,70,7.450023
0.006916596,70,7.450041
0.006607053,70,7.450051
0.00019305495,70,7.450059
-1.8901981e-05,70,7.450066
0.0008629141,70,7.450074
0.000476137,70,7.450081
0.00014063611,70,8.247673
0.00027713247,70,8.247711
0.0003849871,70,8.247724
-1.099972e-05,70,8.247733
0.0018210281,70,8.247741
0.00035584145,70,8.247749
0.0014170167,70,8.247757
0.0009970483,70,8.247765
1.2628321e-05,70,9.139777
0.0010210098,70,9.139822
-8.376148e-05,70,9.139837
0.0059868055,70,9.139845
0.002337755,70,9.139853
0.00034864686,70,9.139861
0.0009380527,70,9.139868
0.0005025186,70,9.139875
0.00384023,70,9.93615
0.00014058157,70,9.936189
0.0010985578,70,9.936201
0.00012039828,70,9.936209
0.0009306852,70,9.936217
0.00020776893,70,9.936224
0.00022681663,70,9.936231
0.0005856983,70,9.936239
0.0022410823,70,10.758022
0.00046936987,70,10.758065
0.00065688853,70,10.758077
0.0014089504,70,10.758086
0.004184719,70,10.758094
0.00038099883,70,10.758102
0.0002437936,70,10.75811
0.0015785377,70,10.758118
0.00013391927,70,11.584314
-9.443793e-07,70,11.584355
0.0007080983,70,11.584367
0.0007674891,70,11.584377
0.0076407664,70,11.584384
0.00096527126,70,11.584393
0.0010715509,70,11.584401
0.008679755,70,11.584409
0.00012100983,70,12.474257
0.0010368767,70,12.474298
0.007703278,70,12.474311
0.0007392583,70,12.474319
0.00088763784,70,12.474326
0.00016320334,70,12.474334
0.00034945522,70,12.474341
0.00058861444,70,12.474348
0.0011965663,70,13.263556
0.0005380162,70,13.263595
0.001860654,70,13.263607
0.0006215676,70,13.263616
0.0021754617,70,13.263623
2.218851e-05,70,13.263631
0.00026326784,70,13.263638
0.00081487006,70,13.263645
0.00017769086,70,14.066526
0.002476837,70,14.06657
0.0015713746,70,14.066582
0.002011957,70,14.066592
0.002368552,70,14.066601
0.00038594488,70,14.066609
0.00045855634,70,14.066617
0.0012385341,70,14.066626
0.0010959692,70,14.894239
